Protein Type	File Name	Accession ID	Hit Number	Hit ID	Query Definition	Hit Length	Species	Hsp E-value	Identity	Positives	Database	TaxID	Domain	Phylum	Class	Order	Family	Type	Strain
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 264	ARB14033.1	nicotinamide phosphoribosyltransferase [Caulobacter phage Ccr2]	476	Caulobacter phage Ccr2	1.93E-68	157	247	Genomic Viruses	2283269	Viruses	Uroviricota	Caudoviricetes	Dolichocephalovirinae	Poindextervirus	Poindextervirus	Poindextervirus BL10
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 265	ARB13688.1	nicotinamide phosphoribosyltransferase [Caulobacter phage Ccr10]	476	Caulobacter phage Ccr10	1.93E-68	157	247	Genomic Viruses	1959740	Viruses	Uroviricota	Caudoviricetes	Dolichocephalovirinae	Shapirovirus	Shapirovirus	Caulobacter phage Ccr5
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 266	YP_009820608.1	nicotinamide phosphoribosyl transferase [Gordonia phage BrutonGaster]	489	Gordonia phage BrutonGaster	2.13E-68	169	255	Genomic Viruses	2653718	Viruses	Uroviricota	Caudoviricetes	Octobienvirus	Octobienvirus	Octobienvirus	Octobienvirus syleon
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 267	QBP33309.1	nicotinate ribosyltransferase [Gordonia phage BrutonGaster]	489	Gordonia phage BrutonGaster	2.13E-68	169	255	Genomic Viruses	2653718	Viruses	Uroviricota	Caudoviricetes	Octobienvirus	Octobienvirus	Octobienvirus	Octobienvirus syleon
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 268	YP_009011545.1	nicotinamide phosphoribosyl transferase [Aeromonas phage PX29]	481	Aeromonas phage PX29	2.64E-68	152	230	Genomic Viruses	926067	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Angelvirus	Angelvirus px29
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 270	ADQ52835.1	conserved hypothetical protein [Aeromonas phage PX29]	481	Aeromonas phage PX29	2.64E-68	152	230	Genomic Viruses	926067	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Angelvirus	Angelvirus px29
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 269	QAX98382.1	hypothetical protein ASfcp2_36 [Aeromonas phage AsFcp_2]	481	Aeromonas phage AsFcp_2	2.64E-68	152	230	Genomic Viruses	2419736	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Angelvirus	Aeromonas phage AsFcp_2
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 272	YP_009274517.1	nicotinamide phosphoribosyl transferase [Gordonia phage OneUp]	490	Gordonia phage OneUp	3.67E-68	167	257	Genomic Viruses	148363	Viruses	Naldaviricetes	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus helarmigerae
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 273	ANA86435.1	nicotinate phosphoribosyltransferase [Gordonia phage OneUp]	490	Gordonia phage OneUp	3.67E-68	167	257	Genomic Viruses	148363	Viruses	Naldaviricetes	Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus helarmigerae
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 274	YP_006988842.1	nicotinamide phosphoribosyl transferase [Caulobacter virus Magneto]	476	Caulobacter virus Magneto	7.86E-68	156	247	Genomic Viruses	3032483	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus duvanny
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 275	AFU87330.1	putative nicotinate phosphoribosyltransferase [Caulobacter virus Magneto]	476	Caulobacter virus Magneto	7.86E-68	156	247	Genomic Viruses	3032483	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus duvanny
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 276	YP_006988058.1	nicotinamide phosphoribosyl transferase [Caulobacter phage phiCbK]	476	Caulobacter phage phiCbK	1.03E-67	155	247	Genomic Viruses	3068400	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus Ce2-1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 279	AFU86994.1	putative nicotinate phosphoribosyltransferase [Caulobacter phage phiCbK]	476	Caulobacter phage phiCbK	1.03E-67	155	247	Genomic Viruses	3068400	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus Ce2-1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 280	AFO71675.1	nicotinamide phosphoribosyltransferase [Caulobacter phage phiCbK]	476	Caulobacter phage phiCbK	1.03E-67	155	247	Genomic Viruses	3068400	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus Ce2-1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 277	ARB15409.1	nicotinamide phosphoribosyltransferase [Caulobacter phage Ccr34]	476	Caulobacter phage Ccr34	1.03E-67	155	247	Genomic Viruses	2927986	Viruses	Uroviricota	Caudoviricetes	Dolichocephalovirinae	Poindextervirus	Poindextervirus	Poindextervirus rogue
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 278	ARB15075.1	nicotinamide phosphoribosyltransferase [Caulobacter phage Ccr32]	476	Caulobacter phage Ccr32	1.03E-67	155	247	Genomic Viruses	2283271	Viruses	Uroviricota	Caudoviricetes	Dolichocephalovirinae	Colossusvirus	Colossusvirus	Colossusvirus PW
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 281	YP_006989892.1	nicotinamide phosphoribosyl transferase [Caulobacter phage CcrSwift]	476	Caulobacter phage CcrSwift	1.11E-67	156	247	Genomic Viruses	3032482	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus borely
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 282	AFU88477.1	putative nicotinate phosphoribosyltransferase [Caulobacter phage CcrSwift]	476	Caulobacter phage CcrSwift	1.11E-67	156	247	Genomic Viruses	3032482	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus borely
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 283	YP_010111740.1	nicotinamide phosphoribosyl transferase [uncultured phage cr126_1]	503	uncultured phage cr126_1	1.26E-67	165	264	Genomic Viruses	2759334	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage vB_ValM_R10Z
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 284	QOR59582.1	putative nicotinamide phosphoribosyltransferase [uncultured phage cr126_1]	503	uncultured phage cr126_1	1.26E-67	165	264	Genomic Viruses	2759334	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage vB_ValM_R10Z
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 285	ARB14376.1	nicotinamide phosphoribosyltransferase [Caulobacter phage Ccr5]	476	Caulobacter phage Ccr5	4.54E-67	155	246	Genomic Viruses	2283272	Viruses	Uroviricota	Caudoviricetes	Dolichocephalovirinae	Bertelyvirus	Bertelyvirus	Bertelyvirus SC
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 287	QGZ16587.1	nicotinate ribosyltransferase [Mycobacterium phage Gabriela]	493	Mycobacterium phage Gabriela	1.04E-66	167	252	Genomic Viruses	2776880	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Lumosvirus	Mycobacterium phage MiniMac
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 288	QIG58672.1	nicotinate ribosyltransferase [Gordonia phage DatBoi]	498	Gordonia phage DatBoi	1.32E-66	171	258	Genomic Viruses	2591121	Viruses	Uroviricota	Caudoviricetes	Nevillevirus	Nevillevirus	Nevillevirus	Nevillevirus trax
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 289	YP_006989544.1	nicotinamide phosphoribosyl transferase [Caulobacter virus Karma]	476	Caulobacter virus Karma	1.53E-66	153	246	Genomic Viruses	3068401	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus Ce7-1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 290	AFU87681.1	putative nicotinate phosphoribosyltransferase [Caulobacter virus Karma]	476	Caulobacter virus Karma	1.53E-66	153	246	Genomic Viruses	3068401	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	dsDNA Virus	Pithovirus	Cedratvirus Ce7-1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 292	YP_009205540.1	nicotinamide phosphoribosyl transferase [Mycobacterium phage Archie]	494	Mycobacterium phage Archie	3.33E-66	164	252	Genomic Viruses	2686086	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Faithunavirus	Mycobacterium phage Gabriela
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 293	ALF00379.1	nicotinate ribosyltransferase [Mycobacterium phage Archie]	494	Mycobacterium phage Archie	3.33E-66	164	252	Genomic Viruses	2686086	Viruses	Uroviricota	Caudoviricetes	Haloruvirales	Vilmaviridae	Faithunavirus	Mycobacterium phage Gabriela
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 294	QXO11803.1	hypothetical protein pEaSNUABM44_00107 [Erwinia phage pEa_SNUABM_44]	492	Erwinia phage pEa_SNUABM_44	3.49E-66	158	264	Genomic Viruses	1150869	Viruses	Uroviricota	Caudoviricetes	sepvirinae	sepvirinae	Oslovirus	Oslovirus ov191
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 295	QXO11255.1	hypothetical protein pEaSNUABM19_00109 [Erwinia phage pEa_SNUABM_19]	492	Erwinia phage pEa_SNUABM_19	3.49E-66	158	264	Genomic Viruses	489779	Viruses	Uroviricota	Caudoviricetes	Traversvirus	Traversvirus	Traversvirus	Traversvirus min27
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 296	QOI72130.1	putative nicotinamide phosphoribosyltransferase [Erwinia phage pEa_SNUABM_50]	492	Erwinia phage pEa_SNUABM_50	3.49E-66	158	264	Genomic Viruses	1429231	Viruses	Uroviricota	Caudoviricetes	sepvirinae	sepvirinae	Oslovirus	Oslovirus ov191
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 297	QOI71591.1	putative nicotinamide phosphoribosyltransferase [Erwinia phage pEa_SNUABM_47]	492	Erwinia phage pEa_SNUABM_47	3.49E-66	158	264	Genomic Viruses	1429230	Viruses	Uroviricota	Caudoviricetes	sepvirinae	sepvirinae	Oslovirus	Oslovirus ov191
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 298	QOI71046.1	putative nicotinamide phosphoribosyltransferase [Erwinia phage pEa_SNUABM_12]	492	Erwinia phage pEa_SNUABM_12	3.49E-66	158	264	Genomic Viruses	2590400	Viruses	Uroviricota	Caudoviricetes	sepvirinae	sepvirinae	Oslovirus	Oslovirus Lyz12581Vzw
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 299	YP_009599604.1	nicotinamide phosphoribosyl transferase [Serratia phage BF]	492	Serratia phage BF	4.64E-66	158	264	Genomic Viruses	632823	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Sheeppox virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 300	AQW88633.1	nicotinamide phosphoribosyltransferase [Serratia phage BF]	492	Serratia phage BF	4.64E-66	158	264	Genomic Viruses	632823	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Sheeppox virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 301	QXO12355.1	hypothetical protein pEaSNUABM49_00109 [Erwinia phage pEa_SNUABM_49]	492	Erwinia phage pEa_SNUABM_49	5.56E-66	158	264	Genomic Viruses	1429233	Viruses	Uroviricota	Caudoviricetes	sepvirinae	sepvirinae	Oslovirus	Oslovirus ov191
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 302	YP_009017299.1	nicotinamide phosphoribosyl transferase [Mycobacterium phage Rumpelstiltskin]	494	Mycobacterium phage Rumpelstiltskin	6.15E-66	168	252	Genomic Viruses	11813	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Moloney murine sarcoma virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 303	AEO94398.1	nicotinate ribosyltransferase [Mycobacterium phage Rumpelstiltskin]	494	Mycobacterium phage Rumpelstiltskin	6.15E-66	168	252	Genomic Viruses	11813	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Moloney murine sarcoma virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 304	QDP60403.1	MAG: putative nicotinamide phosphoribosyltransferase [Prokaryotic dsDNA virus sp.]	523	Prokaryotic dsDNA virus sp.	8.25E-66	161	266	Genomic Viruses	2054179	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus rhinolophidgamma1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 305	YP_010013173.1	nicotinamide phosphoribosyl transferase [Mycobacterium phage Tourach]	494	Mycobacterium phage Tourach	9.57E-66	162	250	Genomic Viruses	10273	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Leporipoxvirus	Myxoma virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 306	QFG14313.1	nicotinate ribosyltransferase [Mycobacterium phage Tourach]	494	Mycobacterium phage Tourach	9.57E-66	162	250	Genomic Viruses	10273	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Leporipoxvirus	Myxoma virus
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 307	YP_003857203.1	nicotinamide phosphoribosyl transferase [Mycobacterium phage LeBron]	491	Mycobacterium phage LeBron	1.30E-65	160	255	Genomic Viruses	2813257	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Mycobacterium phage prophiGD36-2
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 308	ADL71035.1	nicotinate ribosyltransferase [Mycobacterium phage LeBron]	491	Mycobacterium phage LeBron	1.30E-65	160	255	Genomic Viruses	2813257	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Mycobacterium phage prophiGD36-2
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 310	QAU05970.1	nicotinamide phosphoribosyltransferase [Staphylococcus virus Sa87]	489	Staphylococcus virus Sa87	1.66E-65	159	266	Genomic Viruses	2487774	Viruses	Unspecified virus	Unspecified DNA Virus	unspecified dsDNA Virus	unspecified dsDNA Virus	unspecified dsDNA Virus	Sylvanvirus sp.
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 311	DAG94230.1	MAG TPA: putative nicotinate phosphoribosyltransferase [Crassvirales sp.]	507	Crassvirales sp.	1.81E-65	159	266	Genomic Viruses	2777353	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus leb
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 367	DAT47128.1	MAG TPA: putative nicotinate phosphoribosyltransferase [Crassvirales sp.]	510	Crassvirales sp.	1.09E-64	158	263	Genomic Viruses	2777353	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus leb
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 370	DAP18791.1	MAG TPA: putative nicotinate phosphoribosyltransferase [Crassvirales sp.]	503	Crassvirales sp.	1.15E-64	160	263	Genomic Viruses	2777353	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus leb
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 396	DAH00645.1	MAG TPA: putative nicotinate phosphoribosyltransferase [Crassvirales sp.]	506	Crassvirales sp.	3.50E-64	160	263	Genomic Viruses	2777353	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus leb
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 488	DAX30255.1	MAG TPA: putative nicotinate phosphoribosyltransferase [Crassvirales sp.]	499	Crassvirales sp.	2.56E-62	163	258	Genomic Viruses	2777353	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Pseudotevenvirus	Pseudotevenvirus leb
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 313	VEV88809.1	Nicotinamide phosphoribosyltransferase [Staphylococcus phage Stab21]	489	Staphylococcus phage Stab21	2.24E-65	159	265	Genomic Viruses	2601680	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Menderavirus	Menderavirus moby
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 314	YP_009808988.1	nicotinamide phosphoribosyl transferase [Caulobacter phage CcrBL10]	476	Caulobacter phage CcrBL10	2.41E-65	153	246	Genomic Viruses	2927984	Viruses	Uroviricota	Caudoviricetes	Dolichocephalovirinae	Shapirovirus	Shapirovirus	Shapirovirus swift
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 315	AXQ68358.1	nicotinamide phosphoribosyltransferase [Caulobacter phage CcrBL10]	476	Caulobacter phage CcrBL10	2.41E-65	153	246	Genomic Viruses	2927984	Viruses	Uroviricota	Caudoviricetes	Dolichocephalovirinae	Shapirovirus	Shapirovirus	Shapirovirus swift
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 316	AZU97557.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage VB-SavM-JYL02]	489	Staphylococcus phage VB-SavM-JYL02	2.51E-65	161	266	Genomic Viruses	1792289	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	sepvirinae	Traversvirus	Traversvirus ST28624
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 317	AXU40151.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage VB_SavM_JYL01]	489	Staphylococcus phage VB_SavM_JYL01	2.51E-65	161	266	Genomic Viruses	1792288	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	sepvirinae	Traversvirus	Traversvirus tv933W
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 320	YP_007112882.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage JD007]	489	Staphylococcus phage JD007	5.09E-65	158	265	Genomic Viruses	2729592	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage SAM1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 321	AFV50817.1	nicotinate phosphoribosyltransferase [Staphylococcus phage JD007]	489	Staphylococcus phage JD007	5.09E-65	158	265	Genomic Viruses	2729592	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage SAM1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 323	UNH58532.1	nicotinamide phosphoribosyl transferase [Bacillus phage vB_BsuS_PJN02]	498	Bacillus phage vB_BsuS_PJN02	5.62E-65	163	265	Genomic Viruses	38018	Viruses	Uroviricota	Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	unspecified Caudoviricetes	Bacteriophage sp.
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 324	QEM41455.1	nicotinate phosphoribosyltransferase [Staphylococcus phage Maine]	489	Staphylococcus phage Maine	5.65E-65	158	265	Genomic Viruses	2650664	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 325	AVX47563.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage vB_SauM_0414_108]	489	Staphylococcus phage vB_SauM_0414_108	5.65E-65	158	265	Genomic Viruses	1226256	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	sepvirinae	Traversvirus	Traversvirus P27
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 326	YP_009782800.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage IME-SA119]	489	Staphylococcus phage IME-SA119	6.35E-65	158	265	Genomic Viruses	2510151	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage Sa30
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 327	YP_009782506.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage IME-SA118]	489	Staphylococcus phage IME-SA118	6.35E-65	158	265	Genomic Viruses	2025821	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage SA3
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 328	YP_009782471.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage IME-SA2]	489	Staphylococcus phage IME-SA2	6.35E-65	158	265	Genomic Viruses	2969296	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage SA4_Green-2022a
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 329	YP_009782226.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage IME-SA1]	489	Staphylococcus phage IME-SA1	6.35E-65	158	265	Genomic Viruses	1041526	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus S253
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 330	YP_009781586.1	NadV [Staphylococcus phage MSA6]	489	Staphylococcus phage MSA6	6.35E-65	158	265	Genomic Viruses	2650663	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 331	YP_009780395.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus phage SA5]	489	Staphylococcus phage SA5	6.35E-65	158	265	Genomic Viruses	3070820	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Zhangqianvirus	Zhangqianvirus IME1354
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 332	YP_009780182.1	hypothetical protein QLX23_gp121 [Staphylococcus phage ISP]	489	Staphylococcus phage ISP	6.35E-65	158	265	Genomic Viruses	1239385	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 333	YP_009224620.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage 812]	489	Staphylococcus phage 812	6.35E-65	158	265	Genomic Viruses	1450142	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus SA12
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 413	QVD57935.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus phage 812]	489	Staphylococcus phage 812	4.55E-64	157	264	Genomic Viruses	1450142	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus SA12
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 334	YP_009098341.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage Team1]	489	Staphylococcus phage Team1	6.35E-65	158	265	Genomic Viruses	413066	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Streptococcus phage SMP
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 335	YP_009041424.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage K]	489	Staphylococcus phage K	6.35E-65	158	265	Genomic Viruses	2805751	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus G1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 336	URY99926.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage SA4_Green-2022a]	489	Staphylococcus phage SA4_Green-2022a	6.35E-65	158	265	Genomic Viruses	2576870	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage vBSP-A2
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 337	UPO38752.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage vB_SaS_GE1]	489	Staphylococcus phage vB_SaS_GE1	6.35E-65	158	265	Genomic Viruses	1855815	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	sepvirinae	Traversvirus	Traversvirus AU5Stx1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 338	UKH47568.1	MAG: nicotinamide phosphoribosyltransferase [Staphylococcus phage RP2]	489	Staphylococcus phage RP2	6.35E-65	158	265	Genomic Viruses	2305035	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus P108
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 339	QVD58394.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus phage PM4]	489	Staphylococcus phage PM4	6.35E-65	158	265	Genomic Viruses	2596671	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage vB_SauM-515A1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 340	QVD57519.1	putative nicotinamide phosphoribosyl transferase [Staphylococcus phage PM32]	489	Staphylococcus phage PM32	6.35E-65	158	265	Genomic Viruses	2759206	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus P108
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 341	QVD56695.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage PM28]	489	Staphylococcus phage PM28	6.35E-65	158	265	Genomic Viruses	2608318	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Kayvirus P108
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 342	QVD56440.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage PM22]	489	Staphylococcus phage PM22	6.35E-65	158	265	Genomic Viruses	1981514	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage vB_Sau_CG
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 343	QVD56213.1	nicotinamide phosphoribosyl transferase [Staphylococcus phage PM9]	489	Staphylococcus phage PM9	6.35E-65	158	265	Genomic Viruses	2024543	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus phage vB_SauM-fRuSau02
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 344	QTP96263.1	hypothetical protein vBSauH2002_00201 [Staphylococcus phage vB_SauH_2002]	489	Staphylococcus phage vB_SauH_2002	6.35E-65	158	265	Genomic Viruses	180816	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	sepvirinae	Traversvirus	Traversvirus tv933W
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 345	QRE00788.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage SAOMS1]	489	Staphylococcus phage SAOMS1	6.35E-65	158	265	Genomic Viruses	2834249	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Menderavirus	Menderavirus IMESM1
Metabolic Hormones	P43490_blast_results.txt	P43490	Hit 346	QMP18565.1	nicotinamide phosphoribosyltransferase [Staphylococcus phage SAM1]	489	Staphylococcus phage SAM1	6.35E-65	158	265	Genomic Viruses	2508851	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Kayvirus	Staphylococcus virus Sa87
